"","InfantID","FileName","code1","code2","seqcode"
"214","WW04","WW04_segment1.txt","P","P","PP"
"215","WW04","WW04_segment1.txt","P","P","PP"
"216","WW04","WW04_segment1.txt","P","P","PP"
"217","WW04","WW04_segment1.txt","P","U","PU"
"218","WW04","WW04_segment1.txt","U","U","UU"
"219","WW04","WW04_segment1.txt","U","P","UP"
"220","WW04","WW04_segment1.txt","P","P","PP"
"221","WW04","WW04_segment1.txt","P","P","PP"
"222","WW04","WW04_segment1.txt","P","P","PP"
"223","WW04","WW04_segment1.txt","P","P","PP"
"224","WW04","WW04_segment1.txt","P","P","PP"
"225","WW04","WW04_segment1.txt","P","P","PP"
"226","WW04","WW04_segment1.txt","P","P","PP"
"227","WW04","WW04_segment1.txt","P","P","PP"
"228","WW04","WW04_segment1.txt","P","U","PU"
"229","WW04","WW04_segment1.txt","U","P","UP"
"230","WW04","WW04_segment1.txt","P","P","PP"
"231","WW04","WW04_segment1.txt","P","P","PP"
"232","WW04","WW04_segment1.txt","P","P","PP"
"233","WW04","WW04_segment1.txt","P","P","PP"
"234","WW04","WW04_segment1.txt","P","P","PP"
"235","WW04","WW04_segment1.txt","P","P","PP"
"236","WW04","WW04_segment1.txt","P","P","PP"
"237","WW04","WW04_segment1.txt","P","P","PP"
"238","WW04","WW04_segment1.txt","P","P","PP"
"239","WW04","WW04_segment1.txt","P","P","PP"
"240","WW04","WW04_segment1.txt","P","P","PP"
"241","WW04","WW04_segment1.txt","P","P","PP"
"242","WW04","WW04_segment1.txt","P","P","PP"
"243","WW04","WW04_segment1.txt","P","P","PP"
"244","WW04","WW04_segment1.txt","P","P","PP"
"245","WW04","WW04_segment1.txt","P","P","PP"
"246","WW04","WW04_segment1.txt","P","X","PX"
"247","WW04","WW04_segment1.txt","X","P","XP"
"248","WW04","WW04_segment1.txt","P","P","PP"
"249","WW04","WW04_segment1.txt","P","P","PP"
"250","WW04","WW04_segment1.txt","P","X","PX"
"251","WW04","WW04_segment1.txt","X","P","XP"
"252","WW04","WW04_segment1.txt","P","P","PP"
"253","WW04","WW04_segment1.txt","P","R","PR"
"254","WW04","WW04_segment1.txt","R","P","RP"
"255","WW04","WW04_segment1.txt","P","P","PP"
"256","WW04","WW04_segment1.txt","P","P","PP"
"257","WW04","WW04_segment1.txt","P","P","PP"
"258","WW04","WW04_segment1.txt","P","P","PP"
"259","WW04","WW04_segment1.txt","P","P","PP"
"260","WW04","WW04_segment1.txt","P","R","PR"
"261","WW04","WW04_segment2.txt","X","P","XP"
"262","WW04","WW04_segment2.txt","P","C","PC"
"263","WW04","WW04_segment2.txt","C","P","CP"
"264","WW04","WW04_segment2.txt","P","P","PP"
"265","WW04","WW04_segment2.txt","P","P","PP"
"266","WW04","WW04_segment2.txt","P","X","PX"
"267","WW04","WW04_segment2.txt","X","P","XP"
"268","WW04","WW04_segment2.txt","P","P","PP"
"269","WW04","WW04_segment2.txt","P","P","PP"
"270","WW04","WW04_segment2.txt","P","P","PP"
"271","WW04","WW04_segment2.txt","P","P","PP"
"272","WW04","WW04_segment2.txt","P","P","PP"
"273","WW04","WW04_segment2.txt","P","P","PP"
"274","WW04","WW04_segment2.txt","P","P","PP"
"275","WW04","WW04_segment2.txt","P","P","PP"
"276","WW04","WW04_segment2.txt","P","P","PP"
"277","WW04","WW04_segment2.txt","P","P","PP"
"278","WW04","WW04_segment2.txt","P","P","PP"
"279","WW04","WW04_segment2.txt","P","P","PP"
"280","WW04","WW04_segment2.txt","P","R","PR"
"281","WW04","WW04_segment2.txt","R","P","RP"
"282","WW04","WW04_segment2.txt","P","P","PP"
"283","WW04","WW04_segment2.txt","P","P","PP"
"284","WW04","WW04_segment2.txt","P","P","PP"
"285","WW04","WW04_segment2.txt","P","P","PP"
"286","WW04","WW04_segment2.txt","P","P","PP"
"287","WW04","WW04_segment2.txt","P","P","PP"
"288","WW04","WW04_segment2.txt","P","P","PP"
"289","WW04","WW04_segment2.txt","P","P","PP"
"290","WW04","WW04_segment2.txt","P","P","PP"
"291","WW04","WW04_segment2.txt","P","P","PP"
"292","WW04","WW04_segment2.txt","P","T","PT"
"293","WW04","WW04_segment2.txt","T","X","TX"
"294","WW04","WW04_segment2.txt","X","X","XX"
"295","WW04","WW04_segment2.txt","X","T","XT"
"296","WW04","WW04_segment2.txt","T","C","TC"
"297","WW04","WW04_segment2.txt","C","T","CT"
"298","WW04","WW04_segment2.txt","T","P","TP"
"299","WW04","WW04_segment2.txt","P","P","PP"
"300","WW04","WW04_segment2.txt","P","P","PP"
"301","WW04","WW04_segment2.txt","P","P","PP"
"302","WW04","WW04_segment2.txt","P","P","PP"
"303","WW04","WW04_segment2.txt","P","P","PP"
"304","WW04","WW04_segment2.txt","P","P","PP"
"305","WW04","WW04_segment2.txt","P","P","PP"
"306","WW04","WW04_segment2.txt","P","P","PP"
"307","WW04","WW04_segment2.txt","P","P","PP"
"308","WW04","WW04_segment2.txt","P","P","PP"
"309","WW04","WW04_segment2.txt","P","P","PP"
"310","WW04","WW04_segment2.txt","P","P","PP"
"311","WW04","WW04_segment2.txt","P","P","PP"
"312","WW04","WW04_segment2.txt","P","P","PP"
"313","WW04","WW04_segment2.txt","P","P","PP"
"314","WW04","WW04_segment2.txt","P","P","PP"
"315","WW04","WW04_segment2.txt","P","P","PP"
"316","WW04","WW04_segment2.txt","P","P","PP"
"317","WW04","WW04_segment2.txt","P","P","PP"
"318","WW04","WW04_segment2.txt","P","P","PP"
"319","WW04","WW04_segment2.txt","P","P","PP"
"320","WW04","WW04_segment2.txt","P","P","PP"
"321","WW04","WW04_segment2.txt","P","P","PP"
"322","WW04","WW04_segment2.txt","P","P","PP"
"323","WW04","WW04_segment2.txt","P","P","PP"
"324","WW04","WW04_segment2.txt","P","P","PP"
"325","WW04","WW04_segment2.txt","P","P","PP"
"326","WW04","WW04_segment2.txt","P","P","PP"
"327","WW04","WW04_segment2.txt","P","P","PP"
"328","WW04","WW04_segment2.txt","P","P","PP"
"329","WW04","WW04_segment2.txt","P","P","PP"
"330","WW04","WW04_segment2.txt","P","P","PP"
"331","WW04","WW04_segment2.txt","P","P","PP"
"332","WW04","WW04_segment2.txt","P","P","PP"
"333","WW04","WW04_segment2.txt","P","P","PP"
"334","WW04","WW04_segment2.txt","P","P","PP"
"335","WW04","WW04_segment2.txt","P","P","PP"
"336","WW04","WW04_segment2.txt","P","P","PP"
"337","WW04","WW04_segment2.txt","P","T","PT"
"338","WW04","WW04_segment2.txt","T","P","TP"
"339","WW04","WW04_segment2.txt","P","P","PP"
"340","WW04","WW04_segment2.txt","P","C","PC"
"341","WW04","WW04_segment2.txt","C","C","CC"
"342","WW04","WW04_segment2.txt","C","C","CC"
"343","WW04","WW04_segment2.txt","C","C","CC"
"344","WW04","WW04_segment2.txt","C","C","CC"
"345","WW04","WW04_segment2.txt","C","P","CP"
"346","WW04","WW04_segment2.txt","P","P","PP"
"347","WW04","WW04_segment2.txt","P","P","PP"
"348","WW04","WW04_segment2.txt","P","N","PN"
"349","WW04","WW04_segment2.txt","N","X","NX"
"350","WW04","WW04_segment2.txt","X","X","XX"
"351","WW04","WW04_segment2.txt","X","X","XX"
"352","WW04","WW04_segment2.txt","X","P","XP"
"353","WW04","WW04_segment2.txt","P","P","PP"
"354","WW04","WW04_segment2.txt","P","P","PP"
"355","WW04","WW04_segment2.txt","P","N","PN"
"356","WW04","WW04_segment2.txt","N","N","NN"
"357","WW04","WW04_segment2.txt","N","P","NP"
"358","WW04","WW04_segment2.txt","P","P","PP"
"359","WW04","WW04_segment2.txt","P","T","PT"
"360","WW04","WW04_segment2.txt","T","P","TP"
"361","WW04","WW04_segment2.txt","P","X","PX"
"362","WW04","WW04_segment2.txt","X","P","XP"
"363","WW04","WW04_segment2.txt","P","P","PP"
"364","WW04","WW04_segment2.txt","P","X","PX"
"365","WW04","WW04_segment2.txt","X","P","XP"
"366","WW04","WW04_segment2.txt","P","C","PC"
"367","WW04","WW04_segment2.txt","C","N","CN"
"368","WW04","WW04_segment2.txt","N","P","NP"
"369","WW04","WW04_segment2.txt","P","P","PP"
"370","WW04","WW04_segment2.txt","P","X","PX"
"371","WW04","WW04_segment2.txt","X","P","XP"
"372","WW04","WW04_segment2.txt","P","P","PP"
"373","WW04","WW04_segment2.txt","P","P","PP"
"374","WW04","WW04_segment2.txt","P","X","PX"
"375","WW04","WW04_segment2.txt","X","P","XP"
"376","WW04","WW04_segment2.txt","P","R","PR"
"377","WW04","WW04_segment2.txt","R","X","RX"
"378","WW04","WW04_segment2.txt","X","X","XX"
"379","WW04","WW04_segment2.txt","X","X","XX"
"380","WW04","WW04_segment2.txt","X","P","XP"
"381","WW04","WW04_segment2.txt","P","P","PP"
