"","InfantID","startsec","endsec","addressee","intensity","meanf0Hz","meanf0mel","stdf0mel","stdf0Hz"
"3151","WW33",7810.845,7811.68,"N",57.379877757226,189.328955864974,161.817426921943,32.1177403978416,40.9264898381524
"3152","WW33",7818.495,7818.995,"N",44.3887816691514,282.05903124404,227.687886434965,2.24413802336714,3.39551192076974
"3153","WW33",29470.02,29470.74,"T",77.1963411789744,309.223861559355,243.357028440678,46.2775809516358,77.4757119237053
"3154","WW33",29473.01,29474.042,"T",69.7364595274774,376.94296723637,282.902064175737,69.5145348086501,120.815741374033
"3155","WW33",29474.127,29474.492,"T",69.2031951505734,441.97162764948,309.33944759948,132.052816110105,246.976238240996
"3156","WW33",29476.356,29476.929,"T",73.9971470780791,274.979405506036,221.767843028456,36.7085396339183,56.7187224836081
"3157","WW33",29478.229,29478.727,"T",76.6686489834699,339.571979307061,262.359112221213,49.6164511104584,76.6467747652703
"3158","WW33",29479.03,29479.567,"T",76.9292149053188,495.244006730727,339.880261643925,122.266330441032,233.287904907895
"3159","WW33",29481.603,29481.747,"T",71.4069239821537,305.973627738123,243.26346157267,4.18184481132473,6.50745886745545
"3160","WW33",29481.892,29482.496,"T",74.1214131056274,338.863187005276,263.237553898228,30.3222393946752,45.8755883790541
"3161","WW33",29482.79,29484.398,"T",77.9083328619886,405.521341902381,303.566431574714,15.7141032381474,26.7447351742978
"3162","WW33",29485.447,29486.661,"T",77.6697592332291,367.943983424419,280.953113947229,29.6396486217433,47.355499075174
"3163","WW33",29488.215,29489.088,"T",78.4004715294473,312.278062743799,241.892594777408,76.3469981687086,127.257561807922
"3164","WW33",29495.138,29495.728,"N",77.2014972325471,287.676948480495,230.729277801865,27.2809650531478,42.0106782360399
"3165","WW33",29499.65,29500.369,"N",78.3693092190222,249.139594061068,201.100003851934,66.0214943039813,115.109534886782
"3166","WW33",29504.679,29506.1,"N",77.4225731914157,370.336152603894,279.319660144413,64.0788764031388,113.026011234829
"3167","WW33",29513.193,29514.771,"N",76.7151045224912,361.238738128982,277.140104895974,24.8752268638328,40.0580215718428
"3168","WW33",29525.038,29525.183,"T",74.1223107604413,363.39986796241,278.866479233462,12.394934672268,20.5573875158637
"3169","WW33",29526.437,29526.61,"T",70.3566703617141,340.496738608154,261.40139681928,66.3274340307768,103.426791652155
"3170","WW33",29526.939,29527.627,"T",70.9197196083009,325.282328256161,250.644750376171,74.9641011566715,115.438007269208
"3171","WW33",29528.682,29529.211,"T",68.8391558566759,249.246567751988,205.557349373634,2.73272861397887,3.97114332629574
"3172","WW33",29541.48,29543.584,"T",78.7548983992545,471.159523634469,338.711898366631,42.4359069106952,78.1048935678876
"3173","WW33",29546.678,29546.888,"T",79.7037557022625,643.777105189432,425.470478678011,30.1611470213289,62.8183310964568
"3174","WW33",29548.669,29548.985,"T",77.5187824864497,336.532098956076,262.27505237777,18.3741116040399,30.0652610441697
"3175","WW33",29551.715,29552.777,"T",78.5124225464738,408.72131032571,300.244314928335,73.7738431302579,148.702735255166
"3176","WW33",29554.934,29555.791,"T",79.8901106640466,335.109646949474,254.484373504716,86.7325407305747,155.663185888158
"3177","WW33",29555.985,29556.64,"T",78.4865983214147,444.746960406621,325.011432467989,31.5792122544548,58.0979121402403
"3178","WW33",29559.116,29559.984,"T",79.4653566836735,425.390665603832,314.788283980421,18.7052753566671,33.7100458466081
"3179","WW33",29561.804,29562.265,"T",79.3748231425595,610.408637067423,407.079522126243,63.5650793245671,132.253346387451
"3180","WW33",29563.918,29564.442,"T",78.9817739458193,194.461696920813,158.871523736783,89.629486557238,133.786149394541
"3181","WW33",29568.504,29569.091,"U",66.5978353210645,403.560535142462,301.683034629886,33.5049196747734,56.0698605782576
"3182","WW33",29579.86,29580.249,"T",63.7884441816148,165.686245786131,141.363587574713,63.4544195925674,82.7685299797141
"3183","WW33",29580.582,29580.841,"T",64.0166949319948,246.564774416023,203.693255258164,5.14071687174502,7.43701610524458
"3184","WW33",29581.96,29582.192,"N",69.1524857091171,209.003380430769,177.091197460703,9.70750321040149,13.418969859325
"3185","WW33",29584.406,29584.704,"T",61.0040504227653,289.930254058541,232.844413451386,5.4837479561258,8.37767385021883
"3186","WW33",29584.797,29585.013,"T",58.3767864560825,329.594983442435,258.232867768478,4.52765984582624,7.21439492579158
"3187","WW33",29585.058,29585.197,"T",62.8502569528941,296.263214774721,236.999058419492,1.86350134146862,2.86673250186257
"3188","WW33",29587.273,29587.522,"U",61.1667747177661,353.208945016215,272.734933972716,9.87747649029123,16.4077952340851
"3189","WW33",29597.879,29598.436,"T",76.9748378536133,429.366397109069,286.357626955454,183.948511240517,339.759606785633
"3190","WW33",29599.133,29599.59,"T",68.1118185484225,195.201771427808,163.823277978856,60.3982001503915,83.8473981425907
"3191","WW33",29600.418,29602.232,"T",79.3761969983328,472.393473982046,340.227977284568,29.4676067295854,52.5031726119662
"3192","WW33",29604.642,29605.092,"T",78.7116311839567,238.616850585672,191.266642337234,86.6933268069077,131.877471556911
"3193","WW33",29605.136,29605.685,"T",77.4863600989402,654.535920341644,427.324075847295,67.5688181029689,135.750603652139
"3194","WW33",29605.76,29606.646,"T",72.2567076398569,592.592929182832,399.589431734307,53.8878099001602,108.45205390564
"3195","WW33",29609.193,29610.354,"T",74.906234022179,724.092685483317,456.03801677791,83.7046476041337,180.193938734358
"3196","WW33",29647.065,29648.471,"N",70.3522262089429,326.191883617774,254.545084962858,42.3285307289276,64.8460939374351
"3197","WW33",29648.56,29649.148,"N",66.350865520913,252.670108077873,206.960897153375,33.5892583165642,45.8095259719069
"3198","WW33",29649.701,29650.858,"N",66.6417547666937,242.988018206769,200.368709276239,31.6103960892535,43.9346812801978
"3199","WW33",29684.748,29686.447,"N",73.9165314194749,778.738196006953,484.529594097164,26.4465042652552,61.2306038823821
"3200","WW33",29686.862,29689.383,"N",76.0636362712517,625.49390956417,413.560616299685,67.3818447169026,147.938223303957
"3201","WW33",29695.565,29696.592,"N",61.2843096771652,285.361799687026,229.227208241096,27.2580665916043,39.8249153871332
"3202","WW33",29712.227,29713.12,"T",77.6170567620205,359.295517430906,267.407479209188,97.2646240963073,179.414446780812
"3203","WW33",29714.865,29715.673,"T",76.7115395507404,368.378367332513,281.875217252343,10.780930544172,18.1704261871355
"3204","WW33",29716.623,29717.935,"T",79.0631570314337,377.599783715747,284.662150400694,55.5911155504993,95.4795762476552
"3205","WW33",29719.054,29719.854,"T",78.7904551398697,382.549339322436,290.068277443262,19.1637210959661,33.1269957871248
"3206","WW33",29721.062,29722.279,"T",78.2308130616614,482.977123479955,342.683297429885,65.7049921375413,127.957545339836
"3207","WW33",29723.702,29725.025,"T",79.1694226881057,286.287654033914,222.399095308243,96.5465285597462,138.179101566322
"3208","WW33",29726.525,29727.689,"T",78.2798925778251,365.315439709914,279.617015173532,24.1264275113968,40.326699212087
"3209","WW33",29729.072,29729.58,"T",79.4387263376992,222.689252149483,182.011227131357,74.7552443987293,105.088463263366
"3210","WW33",29729.886,29730.517,"T",77.7929844612072,298.450808469492,238.222791467696,14.9136005508337,23.1450456900727
"3211","WW33",29733.375,29733.753,"T",76.8512482787354,472.977948683252,339.767844724205,42.0629592817425,77.9209490445279
"3212","WW33",29736.669,29737.562,"T",77.0345067991007,380.425098918272,289.081737221414,8.57953461941088,14.5371576154813
"3213","WW33",29741.074,29741.837,"T",76.0569004172251,368.747795631407,281.981048344219,15.6097165723666,26.50476578471
"3214","WW33",29745.804,29746.517,"T",76.9750321429478,235.713908700899,192.723257174912,63.0172616388508,87.5378487354014
"3215","WW33",29756.854,29758.172,"T",76.564232080488,246.715672850896,199.650774229281,67.923506203876,98.9844097316129
"3216","WW33",29759.691,29761.005,"T",75.8139108371692,267.812652025798,211.64981949106,85.3094778185575,126.6493613117
"3217","WW33",29763.981,29764.621,"T",77.0500070264593,306.309286580766,229.9145424022,119.560913531243,205.373198527715
"3218","WW33",29769.113,29770.17,"T",75.3682679707057,412.162240432812,303.988762474996,64.417827842497,107.69732758359
"3219","WW33",37892.908,37894.281,"T",63.3931907891293,229.958639547923,178.878641453444,116.973312125789,187.130959248783
"3220","WW33",37905.026,37906.57,"N",57.8704980199535,684.980765970552,444.639834296694,16.6517874781859,37.87762635752
"3221","WW33",37906.788,37908.449,"N",64.1291191100228,288.246133933812,231.361163849548,21.1727132327926,32.4566636881009
"3222","WW33",37910.436,37910.925,"N",69.7370925153906,245.645402668976,203.055391125015,5.35349247653102,7.7408963052722
"3223","WW33",37928.789,37930.656,"N",72.6856843265387,224.018969716856,186.134520703522,45.0118822339708,61.5078162783394
"3224","WW33",37932.944,37934.852,"N",68.7593404986917,231.52689350964,192.139511282296,35.2069852935885,48.2753585523391
"3225","WW33",37936.612,37937.093,"N",56.6790402903233,782.248520593021,486.559144226637,6.26466110397811,15.2832830056159
"3226","WW33",37940.422,37942.359,"N",69.1721075481747,251.05686057194,204.335407547931,53.3701510328911,73.2604685658967
"3227","WW33",37946.115,37947.328,"N",70.0835210286437,243.905730331544,199.349568853181,53.5114095466523,75.4875854330065
"3228","WW33",37992.721,37992.968,"N",70.4922021533651,347.888295727979,269.521864516778,7.52345154389466,12.2668839124669
